,SF,Char,Byte,AirTime,PointSize,MultiVal
880,11,312,156,3444,110,5
881,12,312,156,6234,120,5
882,7,314,157,276,70,5
883,8,314,157,481,80,5
884,9,314,157,861,90,5
885,10,314,157,1599,100,5
886,11,314,157,3444,110,5
887,12,314,157,6234,120,5
888,7,316,158,276,70,5
889,8,316,158,492,80,5
890,9,316,158,881,90,5
891,10,316,158,1599,100,5
892,11,316,158,3444,110,5
893,12,316,158,6398,120,5
894,7,318,159,276,70,5
895,8,318,159,492,80,5
896,9,318,159,881,90,5
897,10,318,159,1599,100,5
898,11,318,159,3526,110,5
899,12,318,159,6398,120,5
900,7,320,160,276,70,5
901,8,320,160,492,80,5
902,9,320,160,881,90,5
903,10,320,160,1599,100,5
904,11,320,160,3526,110,5
905,12,320,160,6398,120,5
906,7,322,161,281,70,5
907,8,322,161,492,80,5
908,9,322,161,881,90,5
909,10,322,161,1599,100,5
910,11,322,161,3526,110,5
911,12,322,161,6398,120,5
912,7,324,162,281,70,5
913,8,324,162,502,80,5
914,9,324,162,902,90,5
915,10,324,162,1640,100,5
916,11,324,162,3526,110,5
917,12,324,162,6398,120,5
918,7,326,163,281,70,5
919,8,326,163,502,80,5
920,9,326,163,902,90,5
921,10,326,163,1640,100,5
922,11,326,163,3608,110,5
923,12,326,163,6561,120,5
924,7,328,164,287,70,5
925,8,328,164,502,80,5
926,9,328,164,902,90,5
927,10,328,164,1640,100,5
928,11,328,164,3608,110,5
929,12,328,164,6561,120,5
930,7,330,165,287,70,5
931,8,330,165,502,80,5
932,9,330,165,902,90,5
933,10,330,165,1640,100,5
934,11,330,165,3608,110,5
935,12,330,165,6561,120,5
936,7,332,166,287,70,5
937,8,332,166,512,80,5
938,9,332,166,902,90,5
939,10,332,166,1640,100,5
940,11,332,166,3608,110,5
941,12,332,166,6561,120,5
942,7,334,167,287,70,5
943,8,334,167,512,80,5
944,9,334,167,922,90,5
945,10,334,167,1681,100,5
946,11,334,167,3608,110,5
947,12,334,167,6561,120,5
948,7,336,168,292,70,5
949,8,336,168,512,80,5
950,9,336,168,922,90,5
951,10,336,168,1681,100,5
952,11,336,168,3690,110,5
953,12,336,168,6725,120,5
954,7,338,169,292,70,5
955,8,338,169,512,80,5
956,9,338,169,922,90,5
957,10,338,169,1681,100,5
958,11,338,169,3690,110,5
959,12,338,169,6725,120,5
960,7,340,170,292,70,5
961,8,340,170,522,80,5
